movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_age,wmean_age,count_female,status,bechdel_test
884581,"Welcome Home, Roxy Carmichael",1990,3687,5.72,2.206,3989297,2016-08-02,actsin,27,13,34.5185185185185,29.0140362856835,14,mixed,3
884581,"Welcome Home, Roxy Carmichael",1990,3687,5.72,2.206,3989297,2016-08-02,director,1,1,46,46,0,all male,3
884733,Welcome to Me,2014,12620,5.85,2.128,608852,2015-06-07,actsin,17,7,46.1764705882353,43.7835343115681,10,mixed,3
884733,Welcome to Me,2014,12620,5.85,2.128,608852,2015-06-07,director,1,0,53,53,1,all female,3
884825,Welcome to the Dollhouse,1995,26057,6.88,2.386,4771000,2016-08-02,actsin,11,6,25.7272727272727,15.7045208486856,5,mixed,3
884825,Welcome to the Dollhouse,1995,26057,6.88,2.386,4771000,2016-08-02,director,1,1,36,36,0,all male,3
884825,Welcome to the Dollhouse,1995,26057,6.88,2.386,4771000,2016-08-02,writer,1,1,36,36,0,all male,3
884867,Welcome to the Punch,2013,26159,5.86,2.029,6787,2013-04-07,actsin,19,14,38.7894736842105,40.3172480754368,5,mixed,1
884873,Welcome to the Rileys,2010,19671,6.71,2.3,152857,2010-12-05,actsin,11,6,46.0909090909091,41.8415016640594,5,mixed,3
884873,Welcome to the Rileys,2010,19671,6.71,2.3,152857,2010-12-05,director,1,1,45,45,0,all male,3
885156,Wendy and Lucy,2008,12039,6.59,2.289,856942,2009-04-26,actsin,7,5,37.4285714285714,29.9015526368448,2,mixed,3
885445,Were the World Mine,2008,4263,7.05,2.637,119563,2009-03-01,actsin,14,6,31,43.5331870800133,8,mixed,3
885445,Were the World Mine,2008,4263,7.05,2.637,119563,2009-03-01,writer,1,1,34,34,0,all male,3
886002,Wet Hot American Summer,2001,39519,6.55,2.479,292102,2001-10-07,actsin,32,22,28.28125,33.2832588203465,10,mixed,3
886002,Wet Hot American Summer,2001,39519,6.55,2.479,292102,2001-10-07,director,1,1,32,32,0,all male,3
886002,Wet Hot American Summer,2001,39519,6.55,2.479,292102,2001-10-07,writer,2,2,31.5,31,0,all male,3
