MP,3P,agg.three,agg.minutes,games,player,steph.ind
28.0,1.0,129.0,1742.0,47,Jason Richardson 2007-08,0
37.0,6.0,135.0,1779.0,48,Jason Richardson 2007-08,0
40.0,5.0,140.0,1819.0,49,Jason Richardson 2007-08,0
39.0,3.0,143.0,1858.0,50,Jason Richardson 2007-08,0
39.0,4.0,147.0,1897.0,51,Jason Richardson 2007-08,0
34.0,2.0,149.0,1931.0,52,Jason Richardson 2007-08,0
42.0,1.0,150.0,1973.0,53,Jason Richardson 2007-08,0
36.0,2.0,152.0,2009.0,54,Jason Richardson 2007-08,0
38.0,5.0,157.0,2047.0,55,Jason Richardson 2007-08,0
38.0,2.0,159.0,2085.0,56,Jason Richardson 2007-08,0
12.0,1.0,160.0,2097.0,57,Jason Richardson 2007-08,0
45.0,4.0,164.0,2142.0,58,Jason Richardson 2007-08,0
43.0,3.0,167.0,2185.0,59,Jason Richardson 2007-08,0
36.0,4.0,171.0,2221.0,60,Jason Richardson 2007-08,0
48.0,5.0,176.0,2269.0,61,Jason Richardson 2007-08,0
37.0,1.0,177.0,2306.0,62,Jason Richardson 2007-08,0
41.0,5.0,182.0,2347.0,63,Jason Richardson 2007-08,0
36.0,2.0,184.0,2383.0,64,Jason Richardson 2007-08,0
44.0,3.0,187.0,2427.0,65,Jason Richardson 2007-08,0
39.0,6.0,193.0,2466.0,66,Jason Richardson 2007-08,0
37.0,0.0,193.0,2503.0,67,Jason Richardson 2007-08,0
39.0,1.0,194.0,2542.0,68,Jason Richardson 2007-08,0
35.0,2.0,196.0,2577.0,69,Jason Richardson 2007-08,0
37.0,4.0,200.0,2614.0,70,Jason Richardson 2007-08,0
45.0,4.0,204.0,2659.0,71,Jason Richardson 2007-08,0
43.0,6.0,210.0,2702.0,72,Jason Richardson 2007-08,0
39.0,1.0,211.0,2741.0,73,Jason Richardson 2007-08,0
38.0,4.0,215.0,2779.0,74,Jason Richardson 2007-08,0
41.0,4.0,219.0,2820.0,75,Jason Richardson 2007-08,0
43.0,4.0,223.0,2863.0,76,Jason Richardson 2007-08,0
32.0,1.0,224.0,2895.0,77,Jason Richardson 2007-08,0
44.0,5.0,229.0,2939.0,78,Jason Richardson 2007-08,0
41.0,4.0,233.0,2980.0,79,Jason Richardson 2007-08,0
40.0,2.0,235.0,3020.0,80,Jason Richardson 2007-08,0
46.0,5.0,240.0,3066.0,81,Jason Richardson 2007-08,0
44.0,3.0,243.0,3110.0,82,Jason Richardson 2007-08,0
